,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
0,36,13,6,2,2,2,0,1,1,1.0,Mike Brown,80.0,0.0,15.0,MB981735,0.0,1.0,0
1,3,6,1,6,2,2,0,0,0,1.0,Tom Penny,80.0,0.0,14.0,TP431285,0.0,0.0,0
2,17,3,1,2,1,0,0,0,1,1.0,Max Wright,14.0,0.0,13.0,MW351713,0.0,1.0,0
3,23,8,9,10,1,1,2,0,1,1.0,Luther Burrell,80.0,0.0,12.0,LB292641,0.0,0.0,0
4,90,8,3,7,1,0,0,0,1,1.0,Adam Radwan,80.0,0.0,11.0,AR914169,0.0,0.0,0
5,2,4,12,5,3,0,1,0,0,1.0,Will Haydon-Wood,74.0,0.0,10.0,WH996540,0.0,0.0,4
6,5,4,64,3,0,0,0,1,0,1.0,Louis Schreuder,72.0,0.0,9.0,LS101938,0.0,0.0,0
7,9,12,7,3,1,0,0,0,0,1.0,Kyle Cooper,57.0,0.0,1.0,KC290866,0.0,0.0,0
8,4,6,4,7,3,0,0,0,0,1.0,George McGuigan,74.0,0.0,2.0,GM717660,0.0,1.0,0
9,4,1,1,6,2,0,0,0,0,1.0,Mark Tampin,57.0,0.0,3.0,MT656123,0.0,0.0,0
10,10,4,1,7,1,1,0,0,0,1.0,Marco Fuser,71.0,0.0,4.0,MF969568,0.0,0.0,0
11,5,2,4,5,1,0,0,0,0,1.0,Sean Robinson,80.0,0.0,5.0,SR726850,0.0,0.0,0
12,11,9,3,9,1,1,0,0,1,1.0,Callum Chick,65.0,0.0,6.0,CC621973,0.0,0.0,0
13,14,9,6,13,1,1,0,2,0,1.0,Will Welch,80.0,0.0,7.0,WW657895,0.0,0.0,0
14,44,11,6,11,1,0,0,1,0,1.0,Carl Fearns,71.0,0.0,8.0,CF997884,0.0,0.0,0
15,0,0,1,2,0,0,0,0,0,1.0,Robbie Smith,6.0,1.0,2.0,RS563183,0.0,0.0,0
16,0,0,0,3,1,1,0,0,0,1.0,Adam Brocklebank,23.0,1.0,1.0,AB332520,0.0,0.0,0
17,11,4,1,0,0,0,0,1,0,1.0,Logovi'i Mulipola,23.0,1.0,3.0,LM816589,0.0,0.0,0
18,0,0,0,0,0,0,0,0,0,1.0,Greg Peterson,9.0,1.0,4.0,GP926844,0.0,0.0,0
19,15,2,0,1,0,0,0,0,0,1.0,Gary Graham,15.0,1.0,6.0,GG484795,1.0,0.0,0
20,0,0,6,0,1,0,0,0,0,1.0,Cameron Nordli-Kelemeti,8.0,1.0,9.0,CN262869,0.0,1.0,0
21,0,0,1,0,0,0,0,0,0,1.0,Joel Hodgson,6.0,1.0,10.0,JH757924,0.0,0.0,0
22,48,2,3,3,3,0,0,0,0,1.0,Ollie Lindsay-Hague,66.0,1.0,13.0,OL559000,0.0,0.0,0
23,20,6,7,1,1,0,0,0,0,0.0,James Shillcock,80.0,0.0,15.0,JS140995,0.0,0.0,0
24,125,6,3,8,1,0,1,1,2,0.0,Alex Hearle,80.0,0.0,14.0,AH208890,0.0,0.0,0
25,4,2,2,9,2,0,0,1,0,0.0,Oli Morris,80.0,0.0,13.0,OL112103,0.0,0.0,0
26,30,7,8,7,1,0,1,1,0,0.0,Francois Venter,27.0,0.0,12.0,JV998880,0.0,0.0,0
27,137,8,2,1,0,0,0,1,4,0.0,Duhan van der Merwe,62.0,0.0,11.0,DV671184,0.0,1.0,0
