,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
0,61,6,2,2,1,0,0,0,0,1.0,Jacob Beetham,80.0,0.0,15.0,JB495893,0.0,0.0,0
1,52,3,4,2,2,0,0,0,0,1.0,Theo Cabango,80.0,0.0,14.0,TC856496,0.0,0.0,0
2,46,9,2,5,1,0,0,0,1,1.0,Josh Adams,80.0,0.0,13.0,JA935900,0.0,1.0,0
3,33,9,10,9,1,0,0,2,0,1.0,Uilisi Halaholo,79.0,0.0,12.0,WH777282,0.0,0.0,0
4,50,3,6,3,1,0,0,0,1,1.0,Dan Fish,69.0,0.0,11.0,DF731512,0.0,0.0,0
5,13,4,16,3,5,0,0,1,1,1.0,Jason Tovey,72.0,0.0,10.0,JT853215,0.0,0.0,1
6,39,8,49,4,5,0,1,1,0,1.0,Tomos Williams,79.0,0.0,9.0,TW860822,0.0,0.0,0
7,0,0,0,6,2,0,0,0,0,1.0,Rowan Jenkins,53.0,0.0,1.0,RJ968327,0.0,0.0,0
8,16,4,1,6,1,0,0,0,0,1.0,Iestyn Harris,59.0,0.0,2.0,IH136154,0.0,0.0,0
9,0,3,0,6,4,1,0,0,0,1.0,Will Davies-King,69.0,0.0,3.0,WD558031,0.0,0.0,0
10,4,5,4,5,1,0,0,0,0,1.0,Alun Lawrence,61.0,0.0,4.0,AL261803,0.0,0.0,0
11,16,5,6,12,2,0,0,1,0,1.0,Seb Davies,80.0,0.0,5.0,SD710082,0.0,0.0,0
12,40,7,10,10,3,2,0,0,2,1.0,Ellis Jenkins,80.0,0.0,6.0,EJ927927,0.0,0.0,0
13,9,4,0,12,1,5,0,0,0,1.0,Olly Robinson,72.0,0.0,7.0,OR671943,0.0,0.0,0
14,58,8,1,10,2,0,0,0,0,1.0,James Botham,80.0,0.0,8.0,JB228303,0.0,0.0,0
15,3,2,2,2,1,0,0,0,0,1.0,Evan Yardley,21.0,1.0,2.0,EY559475,0.0,0.0,0
16,4,2,2,4,1,0,0,0,0,1.0,Joe Cowell,27.0,1.0,1.0,JC811421,0.0,0.0,0
17,0,0,1,2,2,0,0,0,0,1.0,Geraint James,11.0,1.0,3.0,GJ788484,0.0,0.0,0
18,2,3,1,3,1,0,0,0,0,1.0,Rhys Anstey,19.0,1.0,4.0,RA479922,0.0,0.0,0
19,1,1,0,1,1,1,0,0,0,1.0,Alex Everette,8.0,1.0,7.0,AE567728,0.0,0.0,0
20,0,0,2,0,0,0,0,0,0,1.0,Ethan Lloyd,1.0,1.0,9.0,EL125053,0.0,0.0,0
21,0,0,0,2,0,0,0,0,0,1.0,Ioan Evans,11.0,1.0,11.0,IE757732,0.0,0.0,0
22,5,1,0,0,0,0,0,0,0,1.0,Ryan Wilkins,1.0,1.0,12.0,RW647231,0.0,0.0,0
23,56,8,9,1,0,0,0,1,1,0.0,Maxime Medard,80.0,0.0,15.0,MM737172,0.0,0.0,0
24,31,5,6,4,0,0,0,1,1,0.0,Arthur Bonneval,80.0,0.0,14.0,AB607590,0.0,1.0,0
25,25,8,2,5,1,1,0,1,0,0.0,Sofiane Guitoune,53.0,0.0,13.0,SG698316,0.0,0.0,0
26,34,10,8,5,1,0,0,0,1,0.0,Pita Ahki,80.0,0.0,12.0,PA811591,0.0,1.0,0
27,52,7,2,3,1,0,0,1,0,0.0,Matthis Lebel,80.0,0.0,11.0,ML171567,0.0,0.0,0
28,20,5,20,6,1,0,2,0,0,0.0,Romain Ntamack,80.0,0.0,10.0,RN981435,2.0,0.0,4
29,156,8,53,6,1,1,1,2,3,0.0,Antoine Dupont,66.0,0.0,9.0,AD427633,0.0,1.0,0
30,31,10,3,4,0,0,0,1,0,0.0,Cyril Baille,53.0,0.0,1.0,CB879230,0.0,0.0,0
31,7,4,5,4,0,1,0,2,0,0.0,Peato Mauvaka,53.0,0.0,2.0,PM628715,0.0,0.0,0
32,3,1,0,3,0,1,0,0,0,0.0,Dorian Aldegheri,57.0,0.0,3.0,DA764197,0.0,0.0,0
33,13,5,4,5,1,0,0,0,0,0.0,Thibaud Flament,59.0,0.0,4.0,TF695083,0.0,0.0,0
34,27,8,2,7,1,1,0,0,0,0.0,Emmanuel Meafou,67.0,0.0,5.0,EM885694,0.0,0.0,0
35,8,2,3,5,0,0,0,0,0,0.0,Francois Cros,80.0,0.0,6.0,FC931967,0.0,0.0,0
36,36,7,6,8,3,1,0,1,0,0.0,Anthony Jelonch,80.0,0.0,7.0,AJ536835,0.0,1.0,0
37,0,2,6,6,2,0,0,1,0,0.0,Selevasio Tolofua,59.0,0.0,8.0,ST869917,0.0,0.0,0
38,15,2,0,2,1,2,0,0,0,0.0,Julien Marchand,27.0,1.0,2.0,JM604958,0.0,0.0,0
39,0,4,1,3,0,0,0,0,0,0.0,Rodrigue Neti,27.0,1.0,1.0,RN411439,0.0,1.0,0
40,2,2,0,1,0,0,0,0,0,0.0,Paulo Tafili,23.0,1.0,3.0,PT951016,0.0,0.0,0
41,3,2,0,2,0,1,0,0,0,0.0,Joe Tekori,13.0,1.0,5.0,JT333265,0.0,0.0,0
42,13,3,1,0,0,0,0,0,0,0.0,Yannick Youyoutte,21.0,1.0,4.0,YY869774,0.0,0.0,0
43,10,3,1,0,0,0,0,0,0,0.0,Antoine Miquel,21.0,1.0,8.0,AM737558,0.0,0.0,0
44,23,1,11,0,1,0,0,0,1,0.0,Baptiste Germain,14.0,1.0,9.0,BG378449,0.0,0.0,0
45,0,0,0,1,0,0,0,0,0,0.0,Juan Cruz Mallia,27.0,1.0,13.0,JM985596,0.0,0.0,0
46,35,10,11,0,0,0,1,2,1,1.0,Hugo Keenan,80.0,0.0,15.0,HK751316,0.0,1.0,0
47,14,6,2,7,2,0,0,1,0,1.0,Jordan Larmour,80.0,0.0,14.0,JL152199,0.0,0.0,0
48,11,7,5,1,1,0,0,1,0,1.0,Garry Ringrose,59.0,0.0,13.0,GR900605,0.0,0.0,0
49,58,9,13,7,0,0,0,2,1,1.0,Ciaran Frawley,80.0,0.0,12.0,CF238118,0.0,0.0,0
50,61,13,6,1,0,0,2,1,1,1.0,James Lowe,80.0,0.0,11.0,JL715164,0.0,1.0,0
51,13,4,20,4,0,0,2,0,0,1.0,Ross Byrne,59.0,0.0,10.0,RB187137,0.0,0.0,5
52,41,4,42,2,1,0,2,0,0,1.0,Jamison Gibson-Park,53.0,0.0,9.0,JG677554,0.0,2.0,0
53,12,4,0,4,0,1,0,0,0,1.0,Andrew Porter,48.0,0.0,1.0,AP382464,0.0,0.0,0
54,53,6,3,8,0,0,0,1,2,1.0,Ronan Kelleher,48.0,0.0,2.0,RK712948,0.0,1.0,0
55,26,7,1,5,0,0,0,0,1,1.0,Tadhg Furlong,48.0,0.0,3.0,TF974321,0.0,1.0,0
56,0,5,2,5,0,1,0,0,0,1.0,Ross Molony,59.0,0.0,4.0,RM687442,0.0,0.0,0
