,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,at_home,pos_num,is_sub,pos_num_y,PlayGuid
0,Hugo Keenan,80.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,88.0,81.0,10.0,0.0,0.0,1.0,4.0,1.0,80.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,15,HK751316
1,Andrew Conway,62.0,2.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,49.0,77.0,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,14,AC788211
2,Garry Ringrose,80.0,1.0,0.0,0.0,0.0,0.0,110.0,11.0,0.0,22.0,95.0,12.0,0.0,2.0,0.0,7.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,13,GR900605
3,Bundee Aki,80.0,1.0,1.0,0.0,0.0,0.0,113.0,18.0,0.0,0.0,100.0,15.0,1.0,1.0,0.0,9.0,3.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,12,BA768636
4,Mack Hansen,80.0,0.0,1.0,0.0,0.0,0.0,149.0,10.0,0.0,23.0,93.0,5.0,0.0,3.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,11,MH859498
5,Johnny Sexton,64.0,0.0,1.0,3.0,1.0,0.0,57.0,9.0,0.0,70.0,90.0,30.0,1.0,5.0,0.0,7.0,1.0,87.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,10,JS228312
6,Jamison Gibson-Park,69.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,200.0,90.0,93.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,9,JG677554
7,Andrew Porter,66.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,9.0,0.0,100.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,AP382464
8,Ronan Kelleher,62.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.0,0.0,100.0,4.0,1.0,0.0,0.0,9.0,1.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,2,RK712948
9,Tadhg Furlong,52.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,7.0,1.0,87.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,3,TF974321
10,Tadhg Beirne,80.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,0.0,0.0,100.0,7.0,1.0,1.0,0.0,5.0,0.0,100.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1,4,0,4,TB830937
11,James Ryan,66.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,12.0,0.0,100.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,5,0,5,JR854317
12,Caelan Doris,80.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,11.0,0.0,100.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6,0,6,CD872704
13,Josh van der Flier,80.0,0.0,0.0,0.0,0.0,0.0,66.0,11.0,0.0,0.0,100.0,7.0,0.0,2.0,0.0,16.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,7,JV681352
14,Jack Conan,52.0,0.0,0.0,0.0,0.0,0.0,53.0,7.0,0.0,0.0,100.0,5.0,1.0,0.0,0.0,5.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,8,JC661063
15,Dan Sheehan,18.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,7.0,0.0,100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,1,2,DS458390
16,Cian Healy,14.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,1,1,CH726208
17,Finlay Bealham,28.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18,1,3,FB999044
18,Ryan Baird,14.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,1,5,RB604593
19,Peter O'Mahony,28.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,20,1,8,PO196534
20,Conor Murray,11.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,100.0,23.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21,1,9,CM573391
21,Joey Carbery,16.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,32.0,91.0,8.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22,1,10,JC206181
22,James Hume,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23,1,14,JH441458
23,Liam Williams,80.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,100.0,5.0,2.0,2.0,1.0,4.0,1.0,80.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,15,LW454197
24,Johnny McNicholl,62.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,100.0,6.0,0.0,1.0,1.0,3.0,1.0,75.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,14,JM170940
25,Josh Adams,67.0,0.0,0.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0,100.0,5.0,1.0,1.0,0.0,7.0,2.0,77.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0,13,0,13,JA935900
26,Nick Tompkins,80.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,100.0,10.0,2.0,0.0,0.0,21.0,3.0,87.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,12,0,12,NT897139
