idPlayer,playguid,name,most_common_position_num,games_played,m_tries,s_tries,m_try_assist,s_try_assist,m_conversions,s_conversions,m_penalty_goals,s_penalty_goals,m_meters_made,s_meters_made,m_carries,s_carries,m_passes_made,s_passes_made,m_offloads,s_offloads,m_tackles_made,s_tackles_made,m_missed_tackles,s_missed_tackles,m_turnovers_won,s_turnovers_won,m_turnovers_conceded,s_turnovers_conceded,m_lineouts_won,s_lineouts_won,m_lineouts_stolen,s_lineouts_stolen,m_defenders_beaten,s_defenders_beaten,m_clean_breaks,s_clean_breaks,elo_score,defense_score,attack_score,open_score
1,CP633928,"Charles Piutau",15,17,0.1765,0.5286,0.0588,0.2425,0.0000,0.0000,0.0000,0.0000,56.6447,34.5641,9.9624,4.6862,7.2839,4.0741,1.1338,0.9331,3.3531,1.9574,0.4845,0.9687,0.3112,0.5909,1.5817,1.1987,0.2293,0.4581,0.0000,0.0000,2.9702,3.3966,0.5631,0.8226,1167.2083,0.0259,0.3015,0.0901
2,NA457420,"Niyi Adeolokun",14,4,0.2933,0.5867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.8653,26.7572,7.5454,4.5347,0.8367,0.5637,0.2933,0.5867,5.9921,0.8122,2.1915,3.6431,0.0000,0.0000,1.1300,1.6616,0.0000,0.0000,0.0000,0.0000,2.0127,0.6013,0.6097,0.7050,1175.0267,0.0116,0.2813,0.0985
3,PO451364,"Piers O'Conor",13,24,0.1749,0.5148,0.1250,0.3378,0.0000,0.0000,0.0000,0.0000,36.3309,32.2128,7.8200,4.9080,11.4671,7.8173,0.9872,1.2627,6.4660,4.1410,1.2771,1.4413,0.0417,0.2041,1.0118,1.1113,0.0500,0.2236,0.0000,0.0000,1.8219,2.0003,0.4380,0.7428,1193.0185,0.0232,0.2898,0.0797
4,AL417590,"Alapati Leiua",11,23,0.2755,0.4764,0.1304,0.3444,0.0000,0.0000,0.0000,0.0000,41.6225,32.5494,7.3334,2.4686,8.1517,5.6744,1.1566,1.1551,3.9263,2.1201,1.2173,1.2127,0.4299,0.6368,1.7990,1.6412,0.0758,0.3472,0.0000,0.0000,1.8420,1.7185,0.7184,0.8926,1141.7447,0.0248,0.3051,0.0950
5,IL562145,"Ioan Lloyd",15,19,0.1488,0.4667,0.3736,0.7759,0.1188,0.5177,0.0000,0.0000,50.7431,36.8725,7.1342,3.2383,9.3813,11.8220,0.8433,1.0734,5.4598,3.5136,1.8855,1.4319,0.2105,0.5353,1.0873,1.1037,0.0000,0.0000,0.0000,0.0000,3.0915,2.8478,1.1845,1.1940,1128.2790,0.0132,0.2821,0.0937
6,CS506075,"Callum Sheedy",10,28,0.1263,0.3738,0.2272,0.4451,2.0528,1.5606,1.1126,1.1971,16.1141,16.3594,3.7965,2.2015,24.7862,9.9677,0.7335,1.1118,5.0869,3.1625,1.6640,1.3261,0.5123,1.0296,1.0388,1.3778,0.0000,0.0000,0.0000,0.0000,1.2151,1.2546,0.2986,0.5534,1144.9882,0.0242,0.3244,0.1003
7,AU529251,"Andy Uren",9,21,0.5395,1.2351,0.0583,0.2670,0.0000,0.0000,0.0000,0.0000,45.7818,47.7966,5.3067,3.9653,42.6367,20.5539,0.7127,1.2952,5.5485,3.4973,0.5827,1.1258,0.1695,0.5713,0.7901,1.0772,0.0802,0.3308,0.0000,0.0000,0.9382,1.6318,0.6894,1.4006,1180.8506,0.0121,0.1371,0.0360
8,JW511503,"Jake Woolmore",1,23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4973,2.8273,2.9889,2.0494,1.4156,2.0710,0.2000,0.5715,10.3399,5.5046,0.7925,1.0281,0.0993,0.3293,0.3075,0.7435,0.0000,0.0000,0.0000,0.0000,0.0573,0.2499,0.0000,0.0000,1183.2742,0.0194,0.2432,0.0847
9,HT779571,"Harry Thacker",2,22,0.3298,0.6691,0.1165,0.3870,0.0000,0.0000,0.0000,0.0000,32.9016,28.4380,8.3505,3.7653,5.9767,3.4763,0.2215,0.4953,11.5051,5.5552,1.6449,1.8789,0.3858,0.5918,1.2001,1.2917,0.0000,0.0000,0.0526,0.2294,1.8336,2.1107,0.3869,0.9531,1132.6703,0.0204,0.2579,0.1004
10,ML914436,"Max Lahiff",3,14,0.1729,0.4396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9515,6.3670,3.0435,3.0550,1.3271,2.0062,0.4340,0.7440,10.0323,5.1455,0.6526,1.0198,0.1749,0.4447,0.0921,0.3321,0.0000,0.0000,0.0000,0.0000,0.3569,0.5580,0.0000,0.0000,1191.8365,0.0249,0.2156,0.0594
