idPlayer,idMatch,position_num,mins_played,tries,try_assists,conversions,penalty_goals,meters_made,carries,passes_made,offloads,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,lineouts_won,lineouts_stolen,defemders_beaten,clean_breaks,at_home,is_sub,idComp,date,home,away,FT_Score,HT_Score,home_wld,playguid,name,elo_rating,S_Score,Q_score
852,268,15,63,0,0,0,0,113,16,10,2,0,0,0,2,0,0,11,1,1,0,4,17/09/2021,Bristol Bears,Saracens,Sep-26,09-Sep,0,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,278,15,59,0,0,0,0,89,11,6,1,4,0,0,0,0,0,4,0,0,0,4,25/09/2021,Wasps,Bristol Bears,44 - 8,16-Aug,1,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,280,15,80,0,1,0,0,49,12,10,2,1,1,0,1,1,0,2,0,1,0,4,01/10/2021,Bristol Bears,Bath Rugby,25 - 20,Aug-15,1,CP633928,Charles Piutau,1151.97668,1,758.4757484
852,286,15,80,1,0,0,0,83,16,11,2,5,2,0,1,1,0,1,0,0,0,4,08/10/2021,Harlequins,Bristol Bears,52 - 24,Jul-24,1,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,305,15,80,0,0,0,0,18,7,8,1,0,0,0,1,0,0,3,0,0,0,4,30/10/2021,London Irish,Bristol Bears,33 - 45,Dec-19,0,CP633928,Charles Piutau,1151.97668,1,758.4757484
852,310,15,74,0,0,0,0,38,11,15,0,4,0,1,3,0,0,1,1,1,0,4,06/11/2021,Bristol Bears,Worcester Warriors,27-May,13 - 0,1,CP633928,Charles Piutau,1151.97668,1,758.4757484
852,316,15,80,0,0,0,0,78,12,8,0,5,3,0,4,0,0,4,1,1,0,4,26/11/2021,Bristol Bears,Northampton Saints,20 - 36,13 - 20,0,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,321,15,65,0,0,0,0,82,11,6,1,3,0,0,2,0,0,2,1,0,0,4,03/12/2021,Gloucester Rugby,Bristol Bears,27-Oct,08-Mar,1,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,327,15,80,0,0,0,0,40,6,2,1,2,0,0,2,0,0,1,0,1,0,4,26/12/2021,Bristol Bears,Leicester Tigers,26 - 28,13-Oct,0,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,333,15,24,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,4,01/01/2022,Exeter Chiefs,Bristol Bears,19 - 13,12-Mar,1,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,385,15,34,0,0,0,0,8,2,3,0,2,0,0,0,0,0,1,0,0,1,4,26/03/2022,Saracens,Bristol Bears,27 - 23,20 - 20,1,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,391,15,58,0,0,0,0,32,7,4,1,3,0,0,1,1,0,0,0,0,0,4,02/04/2022,Northampton Saints,Bristol Bears,39 - 22,24 - 17,1,CP633928,Charles Piutau,1151.97668,0,758.4757484
852,406,15,80,2,0,0,0,66,14,12,3,4,0,0,2,0,0,7,3,1,0,4,20/05/2022,Bristol Bears,Exeter Chiefs,40 - 33,14 - 14,1,CP633928,Charles Piutau,1151.97668,1,758.4757484
