idMatch,idComp,date,home,away,FT_Score,HT_Score
268,4,17/09/2021,Bristol Bears,Saracens,Sep-26,09-Sep
269,4,18/09/2021,Leicester Tigers,Exeter Chiefs,34 - 19,20-May
270,4,18/09/2021,Northampton Saints,Gloucester Rugby,34 - 20,10-May
271,4,18/09/2021,Worcester Warriors,London Irish,36 - 24,19-May
272,4,18/09/2021,Sale Sharks,Bath Rugby,20 - 19,17-Mar
273,4,19/09/2021,Newcastle Falcons,Harlequins,20 - 26,Dec-14
274,4,24/09/2021,Gloucester Rugby,Leicester Tigers,26 - 33,Dec-18
275,4,25/09/2021,Bath Rugby,Newcastle Falcons,13 - 20,Mar-20
276,4,25/09/2021,Exeter Chiefs,Northampton Saints,24 - 26,21 - 17
277,4,25/09/2021,Harlequins,Worcester Warriors,35 - 29,21-Mar
278,4,25/09/2021,Wasps,Bristol Bears,44 - 8,16-Aug
279,4,26/09/2021,London Irish,Sale Sharks,31 - 31,14 - 31
280,4,01/10/2021,Bristol Bears,Bath Rugby,25 - 20,Aug-15
281,4,02/10/2021,Northampton Saints,London Irish,23 - 21,17-Jul
282,4,02/10/2021,Leicester Tigers,Saracens,13-Dec,03-Sep
283,4,02/10/2021,Newcastle Falcons,Wasps,18 - 14,8 - 0
284,4,02/10/2021,Worcester Warriors,Gloucester Rugby,23 - 31,03-Dec
285,4,03/10/2021,Sale Sharks,Exeter Chiefs,15 - 25,10-Oct
286,4,08/10/2021,Harlequins,Bristol Bears,52 - 24,Jul-24
287,4,09/10/2021,Exeter Chiefs,Worcester Warriors,42 - 5,21 - 0
288,4,09/10/2021,Gloucester Rugby,Sale Sharks,33 - 32,20-Oct
289,4,09/10/2021,London Irish,Leicester Tigers,16 - 21,06-May
290,4,09/10/2021,Saracens,Newcastle Falcons,37 - 23,Oct-17
291,4,10/10/2021,Wasps,Northampton Saints,26 - 20,10-Oct
292,4,15/10/2021,Sale Sharks,Harlequins,28 - 22,17 - 14
293,4,16/10/2021,Newcastle Falcons,Bristol Bears,13-May,7 - 0
294,4,16/10/2021,Wasps,Exeter Chiefs,23 - 27,20 - 15
295,4,16/10/2021,Worcester Warriors,Leicester Tigers,Mar-48,Mar-22
296,4,17/10/2021,Bath Rugby,Saracens,17 - 71,0 - 45
297,4,17/10/2021,London Irish,Gloucester Rugby,25 - 25,14-Jun
298,4,22/10/2021,Northampton Saints,Worcester Warriors,66 - 10,33 - 10
299,4,23/10/2021,Gloucester Rugby,Newcastle Falcons,29 - 20,13 - 0
300,4,23/10/2021,Harlequins,Bath Rugby,31 - 17,Dec-17
301,4,23/10/2021,Leicester Tigers,Sale Sharks,19-Nov,06-Mar
302,4,24/10/2021,Saracens,Wasps,56 - 15,27-Mar
303,4,29/10/2021,Gloucester Rugby,Exeter Chiefs,13 - 16,13-Jun
304,4,30/10/2021,Bath Rugby,Wasps,17 - 27,Oct-13
305,4,30/10/2021,London Irish,Bristol Bears,33 - 45,Dec-19
306,4,30/10/2021,Northampton Saints,Leicester Tigers,26 - 55,May-27
307,4,30/10/2021,Worcester Warriors,Sale Sharks,27 - 14,17-Jul
308,4,31/10/2021,Harlequins,Saracens,22 - 29,19-Sep
309,4,05/11/2021,Leicester Tigers,Bath Rugby,40 - 23,20 - 13
310,4,06/11/2021,Bristol Bears,Worcester Warriors,27-May,13 - 0
311,4,06/11/2021,Saracens,London Irish,34 - 34,13-Mar
312,4,06/11/2021,Sale Sharks,Northampton Saints,30-Jun,13-Jun
313,4,06/11/2021,Exeter Chiefs,Newcastle Falcons,14 - 15,07-Jul
314,4,07/11/2021,Wasps,Harlequins,16 - 26,16 - 0
315,4,26/11/2021,Bath Rugby,Exeter Chiefs,16 - 23,10-Jun
316,4,26/11/2021,Bristol Bears,Northampton Saints,20 - 36,13 - 20
317,4,26/11/2021,Wasps,Gloucester Rugby,33 - 35,Dec-23
318,4,27/11/2021,Harlequins,London Irish,19 - 22,14-Oct
319,4,27/11/2021,Newcastle Falcons,Worcester Warriors,24 - 24,12-Oct
320,4,28/11/2021,Saracens,Sale Sharks,25 - 14,13 - 0
321,4,03/12/2021,Gloucester Rugby,Bristol Bears,27-Oct,08-Mar
322,4,04/12/2021,Exeter Chiefs,Saracens,18 - 15,08-Jun
323,4,04/12/2021,London Irish,Newcastle Falcons,43 - 21,28 - 14
324,4,04/12/2021,Northampton Saints,Bath Rugby,40 - 19,28-Dec
325,4,04/12/2021,Worcester Warriors,Wasps,32 - 31,25 - 14
326,4,05/12/2021,Leicester Tigers,Harlequins,16 - 14,09-Jun
327,4,26/12/2021,Bristol Bears,Leicester Tigers,26 - 28,13-Oct
328,4,26/12/2021,Saracens,Worcester Warriors,61 - 29,40 - 7
329,4,26/12/2021,Wasps,London Irish,38 - 30,25 - 18
330,4,26/12/2021,Bath Rugby,Gloucester Rugby,20 - 40,Jun-26
331,4,27/12/2021,Harlequins,Northampton Saints,41 - 27,26 - 24
332,4,01/01/2022,Sale Sharks,Wasps,26 - 18,19-Aug
333,4,01/01/2022,Exeter Chiefs,Bristol Bears,19 - 13,12-Mar
334,4,02/01/2022,Gloucester Rugby,Harlequins,17 - 20,10-Oct
335,4,02/01/2022,Leicester Tigers,Newcastle Falcons,31 - 0,17 - 0
336,4,02/01/2022,Northampton Saints,Saracens,Jun-30,06-Jun
337,4,07/01/2022,Bristol Bears,Sale Sharks,32 - 15,19 - 15
338,4,08/01/2022,Harlequins,Exeter Chiefs,14-Dec,07-Jul
339,4,08/01/2022,Newcastle Falcons,Northampton Saints,Aug-44,Mar-20
340,4,08/01/2022,Saracens,Gloucester Rugby,24 - 25,14-Dec
341,4,09/01/2022,Bath Rugby,Worcester Warriors,22 - 19,14 - 19
342,4,09/01/2022,Wasps,Leicester Tigers,16 - 13,Jul-13
343,4,28/01/2022,Bath Rugby,Harlequins,21 - 17,06-Dec
344,4,29/01/2022,London Irish,Exeter Chiefs,18 - 14,18 - 14
345,4,29/01/2022,Worcester Warriors,Northampton Saints,13 - 29,Mar-19
346,4,29/01/2022,Newcastle Falcons,Gloucester Rugby,22 - 32,Aug-20
347,4,30/01/2022,Sale Sharks,Leicester Tigers,35 - 26,May-18
348,4,30/01/2022,Wasps,Saracens,26 - 20,13 - 13
349,4,04/02/2022,Gloucester Rugby,London Irish,24-Jul,7 - 0
350,4,05/02/2022,Bristol Bears,Newcastle Falcons,37 - 21,28 - 14
351,4,05/02/2022,Exeter Chiefs,Wasps,26 - 27,21-Aug
