,M,C,P,T,MT,TW,TC,DB,TA,O,CB,LW,LS,at_home,p_name,min_played,is_sub,pos_num_x,PlayGuid,M_per80m,C_per80m,P_per80m,T_per80m,MT_per80m,TW_per80m,TC_per80m,DB_per80m,TA_per80m,O_per80m,CB_per80m,LW_per80m,LS_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,DB_per_Break_per80m,pos_num_y
0,113,16,10,0,0,0,2,11,0,2,1,0,0,1,Charles Piutau,63,0,15,CP633928,130.0042007831839,18.40767444717648,11.5047965294853,0.0,0.0,0.0,2.30095930589706,12.65527618243383,0.0,2.30095930589706,1.15047965294853,0.0,0.0,7.062500000000001,0.0,0.0,0.6875000000000001,15.0
1,9,4,1,6,0,0,1,2,0,0,0,0,0,1,Niyi Adeolokun,80,0,14,NA457420,9.0,4.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.25,1.0,0.0,0.5,14.0
2,34,7,6,3,2,0,2,2,0,0,0,0,0,1,Piers O'Conor,80,0,13,PO451364,34.0,7.0,6.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.857142857142857,0.6,0.0,0.2857142857142857,13.0
3,19,8,10,5,1,0,3,0,0,0,0,0,0,1,Alapati Leiua,80,0,12,AL417590,19.0,8.0,10.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,0.8333333333333334,0.0,0.0,11.0
4,26,6,3,1,1,0,1,0,0,0,0,0,0,1,Ioan Lloyd,59,0,11,IL562145,31.13677341306625,7.185409249169135,3.5927046245845675,1.1975682081948558,1.1975682081948558,0.0,1.1975682081948558,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.5,0.0,0.0,15.0
5,20,6,31,4,2,0,0,1,0,0,0,0,0,1,Callum Sheedy,80,0,10,CS506075,20.0,6.0,31.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.6666666666666666,0.0,0.16666666666666666,10.0
6,18,6,60,2,1,0,1,0,0,0,0,0,0,1,Andy Uren,68,0,9,AU529251,19.780352088107154,6.593450696035719,65.9345069603572,2.197816898678573,1.0989084493392864,0.0,1.0989084493392864,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999996,0.6666666666666666,0.0,0.0,9.0
7,0,4,0,7,2,0,0,0,0,0,0,0,0,1,Jake Woolmore,59,0,1,JW511503,0.0,4.790272832779423,0.0,8.38297745736399,2.3951364163897115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,1.0
8,45,11,3,6,2,0,1,5,0,0,1,0,0,1,Harry Thacker,59,0,2,HT779571,53.89056936876851,13.173250290143413,3.5927046245845675,7.185409249169135,2.3951364163897115,0.0,1.1975682081948558,5.987841040974279,0.0,0.0,1.1975682081948558,0.0,0.0,4.090909090909091,0.75,0.0,0.45454545454545453,2.0
9,0,4,0,2,0,0,0,0,0,0,0,0,0,1,Max Lahiff,63,0,3,ML914436,0.0,4.60191861179412,0.0,2.30095930589706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
10,33,6,4,10,0,0,0,2,0,0,0,5,1,1,Ed Holmes,70,0,4,SH571540,35.647044216189215,6.481280766579856,4.320853844386571,10.802134610966426,0.0,0.0,0.0,2.1604269221932855,0.0,0.0,0.0,5.401067305483213,1.0802134610966427,5.500000000000001,1.0,0.0,0.3333333333333333,4.0
11,8,9,2,5,0,1,1,0,0,0,0,2,0,1,Chris Vui,80,0,5,CV953897,8.0,9.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8888888888888888,1.0,0.5,0.0,6.0
12,13,8,6,7,0,1,1,0,0,0,0,1,1,1,Steven Luatua,75,0,6,SL742452,13.488598468440093,8.300675980578518,6.225506985433889,7.263091483006203,0.0,1.0375844975723147,1.0375844975723147,0.0,0.0,0.0,0.0,1.0375844975723147,1.0375844975723147,1.6250000000000002,1.0,0.5,0.0,6.0
