,,M_per80m,M_per80m,C_per80m,C_per80m,P_per80m,P_per80m,T_per80m,T_per80m,MT_per80m,MT_per80m,TW_per80m,TW_per80m,TC_per80m,TC_per80m,DB_per80m,DB_per80m,TA_per80m,TA_per80m,O_per80m,O_per80m,CB_per80m,CB_per80m,LW_per80m,LW_per80m,LS_per80m,LS_per80m,DB_per_Break_per80m,DB_per_Break_per80m,Meters_per_Carry_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,%Turnovers_Won_per80m
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
PlayGuid,pos_num_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA215543,3.0,6.322585171281585,6.581582896083948,4.43028435168162,2.1549280193578197,0.7040191563400235,1.580543570757405,9.768681364205262,3.8847267950292896,0.5392847551691113,0.9433051894050491,0.5683064646200723,0.921010845400339,0.4232049744801729,0.7891533624634008,0.2349311430602401,0.6745552983177938,0.0,0.0,0.07731021106485653,0.3092408442594261,0.0841300428180049,0.3365201712720196,0.0,0.0,0.0,0.0,0.05625,0.15478479684172258,1.534375,1.6149013127742513,0.9498263888888889,0.09346149022095139,0.28125,0.4460474563690878
AB332520,1.0,7.340077736061595,15.481546872152833,2.8608317009835886,2.23107815024484,1.1254555809785243,1.1878885243228627,6.786774916679073,3.133669741634502,1.0585067833635442,0.9741039681735643,0.05887691915277762,0.256638540693972,0.0,0.0,0.32991196959497016,0.6958661424268066,0.0,0.0,0.10882434588231071,0.4743543262979091,0.05419440606912911,0.23622793936054115,0.05419440606912911,0.23622793936054115,0.0,0.0,0.07631578947368421,0.1743874455245996,2.7929824561403507,5.38452949613398,0.8668527379053697,0.11450822879126896,0.05263157894736842,0.22941573387056177
AB902466,8.0,52.16311579732238,26.93043404438143,15.315047505901001,7.3110528746371,5.462767955534198,2.0003654274059537,9.497219609974353,4.726990527730333,1.6739360683459032,2.382809076678621,0.8359813106091262,0.929959766037752,0.8697681334371086,0.8427309338900036,3.863695123161031,3.2257133865595042,0.1375014150928149,0.4763188741067469,0.9309461691393857,1.030600335077526,0.22396678989050778,0.5391242184303856,0.16979870813102624,0.39664529313261143,0.0,0.0,0.244801239209134,0.17696631318060377,3.528226817042606,1.4682123945015828,0.8597756410256411,0.16852317390450672,0.40277777777777785,0.4464129386392287
AC236132,15.0,51.05962645207032,56.265517969554445,5.543027584735899,3.1709728523653022,2.3321199250866758,2.1998928486390974,2.4284697458038367,2.282066920875139,1.0629237609251052,1.0871916439219853,0.2727272727272727,0.6466697906828632,1.317479664128118,1.9834596110183078,1.5187637833133036,1.3949988245170537,0.18181818181818182,0.40451991747794525,0.3950982440989162,0.5563096586773122,0.9964688914342978,1.3712761864805618,0.0,0.0,0.0,0.0,0.23376623376623373,0.22624264606837638,6.816305916305916,6.140364290168653,0.49090909090909085,0.3821258981280934,0.12727272727272726,0.31333978072025614
AC412599,1.0,1.3859301917320297,2.4183103067694045,3.321625978275915,2.6740122126942114,1.760400990336958,2.046743414035339,6.432529444217987,5.7046369054066615,1.4839746508707963,1.828476344506501,0.2996855937757316,0.8990567813271947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996855937757316,0.8990567813271947,0.0,0.0,0.0,0.0,0.37037037037037035,0.611111111111111,0.6538054538054537,0.3999683183107274,0.1111111111111111,0.33333333333333337
AC448407,3.0,1.0509224543613065,2.9724575759203593,0.5254612271806532,1.4862287879601797,0.265754247590989,0.7516665224028681,9.15783947815599,6.2897237413431215,0.6133185587938045,1.135883429179727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476,0.825,0.3453776401067595,0.0,0.0
AC555217,5.0,9.168439680879677,10.522090579844761,6.454350743220242,4.1369491680754,5.144330783449334,2.9085850725934006,8.432594058742493,5.192282868147206,0.8103616292535405,0.9411884980142149,0.23076923076923078,0.5991446895152781,0.43706783159474644,0.727172530128168,0.38876744480988396,0.6548565630627972,0.07692307692307693,0.2773500981126145,0.5467656588505372,0.7935722671544075,0.07692307692307693,0.2773500981126145,4.783017784613007,3.164090699409637,0.6320448454636717,0.6326152448474989,0.03583916083916084,0.059100122804879085,1.2544538794538793,1.0700137909518925,0.8969188930727393,0.11790495382650408,0.15384615384615385,0.37553380809940534
AC686044,2.0,16.63386574176737,10.870015896785615,9.209422952024145,2.9934080505739096,2.660657319382588,2.038510439998504,7.476431056153374,3.2943820821279304,0.8160343342655781,1.0564618202622118,0.53417467814944,0.8218412153227411,0.7660674772187752,0.9226319330778683,0.611999585055405,0.9881379728876153,0.11829603173683674,0.35434416484637576,0.35985667821317324,0.6713143678440503,0.056380874456018276,0.2457585341022374,0.0,0.0,0.06302990569446609,0.27474098934307656,0.06903053087263615,0.11249221449348908,1.6641660970608338,0.857735423160986,0.9091986960408014,0.10999545573421093,0.25438596491228066,0.3823595564509363
AC758187,6.0,15.867772561342479,21.197997874786246,4.500945709428684,3.1081641269650344,2.7994377428131734,2.8901078889195833,13.064723505172536,7.42169049620029,1.452562725612366,1.7073080993116792,0.24397246837722075,0.5965602267963699,0.2222222222222222,0.5483188805533161,1.2117380421881832,1.8847112113574387,0.20417963989363105,0.6258154984517805,0.3184344411012887,0.6317400684738187,0.30824420138154474,0.7208194828108073,2.6710247508518634,3.2835554444074786,0.15282730524446247,0.4630594988484542,0.19087301587301586,0.28197630678546143,2.5509259259259256,3.176992824347417,0.8151875901875902,0.3084964121899846,0.1388888888888889,0.3345565790343442
AC890060,4.0,10.858682159016142,13.187187116475725,4.5723018018728725,3.35367581558111,3.8106891366254487,2.2984655645887315,10.798274692434095,6.093659279025666,0.9626898357490654,1.251017713072521,0.17217084644197309,0.4286205795566096,0.3295455675725231,0.5310859433888866,0.0721708464419731,0.3227578372759013,0.0,0.0,0.3970101165583301,0.7665730000168234,0.1,0.3077935056255462,2.7550649601570454,2.5947999097709356,0.5673124292716875,1.1634533678690142,0.01,0.0447213595499958,1.9871428571428573,2.4338338483422968,0.9188333333333336,0.09975439299287783,0.125,0.31933318682925255
AD320497,1.0,8.332030096314536,10.413035650242895,8.568681666988947,9.067761406408598,0.7400035754569767,1.2099949700267643,6.148536734092881,4.282581469073428,0.6654283166307277,1.0733394099958387,0.28134442288218314,0.8896891832932932,0.7883503405251194,1.842076791211138,0.6775428518623373,1.1024084318685237,0.0,0.0,0.13120882119112487,0.4149187240697216,0.0,0.0,0.13120882119112487,0.4149187240697216,0.0,0.0,0.10151515151515152,0.17985046334210814,0.8515151515151516,1.068750833471734,0.8273809523809523,0.31553234001663266,0.03333333333333333,0.10540925533894598
AD528464,8.0,32.2174506881993,23.233474080806985,9.171192845033376,3.113369297821334,6.860609422143198,2.3634550693574914,9.33371234447314,3.6132474898625935,1.2336603459671012,1.234627121504394,0.9317502686705341,1.056849602404972,1.5500259992530199,1.224464429010839,1.6923076923076923,1.5483655567842813,0.3076923076923077,0.6304251719561151,1.2307692307692308,1.3634420996046583,0.38461538461538464,0.6504436355879909,1.1596283842418946,0.9926703252001853,0.0,0.0,0.17686202686202684,0.1509404208293905,3.6503968253968253,3.0822863689993216,0.8875475831358185,0.09341345241568051,0.32783882783882784,0.3446428703229219
AD709542,9.0,11.180173499429946,12.286101948731522,3.2556230843850873,2.4846757828233628,46.10064036887621,17.27843239840319,4.470713799298252,2.356504755338258,1.53995653983007,1.2901199598804285,0.12585906614743214,0.3667463429692633,0.4072848346415646,0.7039536877226826,0.7194640024428186,0.9121448282734558,0.2794722584802287,0.6755709944309473,0.5124413484222008,0.7881100847720514,0.12844934510618047,0.3776544685282269,0.0,0.0,0.0,0.0,0.22361111111111112,0.304973078207524,3.051388888888889,3.3493905527966428,0.7269400352733686,0.27153713711948646,0.08333333333333333,0.2572478777137633
AD842237,5.0,1.3153523345477294,3.414936029875135,2.1553031599134114,2.4164709939685607,1.1359917574985736,1.6457797735338278,8.097153611490755,6.235817502939632,0.6827215666947277,1.2089597987693397,0.7444764239144701,1.8331268868579682,0.15489260791257342,0.6751612249923761,0.18102856043049712,0.7890852008111828,0.0,0.0,0.1170213178171735,0.35249382190345147,0.0,0.0,2.7049275046940155,3.4689736485655334,0.05263157894736842,0.22941573387056177,0.05263157894736842,0.22941573387056177,0.3684210526315789,0.9421196016057061,0.8394813788858111,0.3091852620093534,0.18421052631578946,0.3804429551263411
AE859027,12.0,39.9382927880804,17.96626179469748,10.061677704861806,3.5397914555108527,6.543745460198083,3.4771832224713095,8.397089957660866,3.1799340162920893,1.3541123801304829,1.0687241951512017,0.8401005864289384,0.8386036222630923,1.4998430840151955,1.2040513429752164,2.6401841941993367,2.057192907995812,0.26516993257996896,0.45678484281226545,0.523725056246166,0.9483194805143267,0.7075211258184002,0.8427024757642397,0.043478260869565216,0.20851441405707477,0.0,0.0,0.26174014959181197,0.17459814253172048,4.098447219163332,1.6905610950562266,0.8557344829083959,0.12247050621687153,0.3094202898550725,0.3284039336092264
AF314846,12.0,24.16591376428619,24.181985425201045,5.4981094019607175,3.2610902506758785,13.024759320546469,6.539792147987476,9.228707071092792,7.902377188792424,1.0771852583151202,1.1536648842730959,0.42562561915742764,0.7639370118508184,0.2727272727272727,0.6466697906828632,1.0152783209484986,1.2977018804204044,0.3458452644518251,0.8688146146257361,0.988837157033807,1.1963211387894501,0.5530937059287947,0.8018546621997724,0.0,0.0,0.0,0.0,0.15007215007215005,0.20091923249800056,3.7402597402597406,3.315281981923415,0.662464728254202,0.4356394951768389,0.18181818181818182,0.34524182711820883
AG979668,15.0,31.634512283738726,31.958201006515377,5.185605839094198,3.3448086814465436,13.520138987161799,7.144210898017549,3.0066429718899874,2.755870805656293,1.180489182513306,1.839593228159625,0.047619047619047616,0.21821789023599236,1.2076480460454493,1.6743135274741838,1.4688823568566347,1.7722918550961735,0.49926526120241704,0.6591268171451308,0.5945033564405123,0.908334354362741,0.2560207783769976,0.5833162331310328,0.09118041259206378,0.4178411426004369,0.0,0.0,0.22029478458049884,0.2253981977138767,5.195956160241873,4.118887235422095,0.649779911964786,0.33799242450830075,0.015873015873015872,0.07273929674533079
AH208890,14.0,62.42344462279711,58.30485670477256,6.0778855203594935,3.3761223507751206,2.4487265217763734,2.208886483713022,6.173954454516589,4.267158186229994,0.7738376728392414,1.0343945191431863,0.09090909090909091,0.30151134457776363,0.9394986685456225,1.015871466183843,1.7738376728392415,2.3167928567282687,0.09090909090909091,0.30151134457776363,0.5957512213590327,1.6713653126317713,0.7738376728392414,0.9327229069951394,0.0,0.0,0.0,0.0,0.26298701298701294,0.32859965999551055,9.668831168831169,7.833553727869692,0.7191919191919192,0.37145329896352597,0.045454545454545456,0.15075567228888181
AH313483,10.0,20.230580184921006,19.84591598260493,6.16322867246091,2.8810680961035273,12.22365466413056,4.9927108337043355,6.452038841251728,3.982199446621179,2.058619499715706,2.075571318366819,0.2,0.5231483637805969,0.9882795112593172,1.1304802657941766,1.4002290340967243,1.4432263888057402,0.3,0.7326950970650465,0.8489847476986159,0.9983386469680944,0.05,0.22360679774997894,0.0,0.0,0.0,0.0,0.20588369963369962,0.20062642372322206,2.721662087912088,2.1105555831249814,0.6796065699006875,0.2831958637983428,0.09166666666666666,0.2505841129457706
AH670270,1.0,13.045737738811175,11.330383523574449,8.778861913140009,4.356027055052359,4.667751309551861,3.1664913866909394,8.448520099353159,3.13365161033266,1.4560917024107862,1.5373801135640983,0.06327482085499739,0.2899616561527959,0.685184003820882,0.9900733952076457,0.26955270792627495,0.589233518105522,0.0,0.0,0.26560415980506763,0.48804379284023885,0.0,0.0,0.27293307797875693,0.5016258964140505,0.0,0.0,0.022469593898165326,0.050472719869455195,1.3556795056795057,0.9208934792931182,0.8695562374133802,0.1363682587462863,0.047619047619047616,0.21821789023599236
AK407854,5.0,3.677169789942691,5.475819377739936,4.358735496590228,3.7276826905416973,4.114920566472391,3.881571923205607,12.424209041115146,8.442222675500119,0.7618457233275402,1.0671507326688063,0.08738607418044975,0.3269687499584554,0.3887453634328048,0.8002106711098624,0.07142857142857142,0.2672612419124244,0.0,0.0,0.07142857142857142,0.2672612419124244,0.07142857142857142,0.2672612419124244,4.076445514363508,3.524749897679549,0.2302432170375926,0.4603136675059444,0.017857142857142856,0.0668153104781061,1.0083333333333333,1.4997542533738055,0.9409863945578232,0.09767008659234423,0.03571428571428571,0.1336306209562122
AL146980,13.0,23.43389007625245,27.032496270905625,4.511768133349186,2.3782012766298646,5.979277068295708,2.847214457762364,8.454385073954134,5.027457392007217,1.1670135222080396,1.3645636041032536,0.047619047619047616,0.21821789023599236,0.8378119491660427,0.78115964691912,0.9367218623814223,1.313515572939562,0.252489037167564,0.46435122765846515,0.28778001770821665,0.5538348184112132,0.30910032254258485,0.6097462762620944,0.0,0.0,0.0,0.0,0.204421768707483,0.3154643175791754,4.979138321995465,4.263944969553402,0.8574957255629524,0.17964042628529517,0.015873015873015872,0.07273929674533079
AL417590,11.0,43.403057960862256,34.27679871509515,7.449324601112774,2.5968210725928325,8.41221032499005,5.962470395516168,3.959097016124582,2.2445623186857997,1.2498386514313689,1.2606091478803612,0.44436940044923023,0.6578867699876181,1.5688573800955783,1.2901144110522842,1.8700629822719024,1.758217960274766,0.15,0.36634754853252327,1.1160259704301283,1.226273870040955,0.712161132199918,0.9352083770122819,0.07954556757252312,0.3557385928019292,0.0,0.0,0.2511904761904762,0.21938780444404413,5.29239898989899,3.396757498802855,0.7001587301587302,0.30428285762625584,0.17083333333333334,0.24849694363140978
AL809249,14.0,45.94143332290423,48.84751452593285,4.5688138272450605,2.828289320412541,2.2985583383021835,1.7493902438074884,3.1676259754449063,2.4040434256175893,1.175456002342995,1.446692980676949,0.11438456007482736,0.3438390895234436,1.0723478015384755,1.2780748951762384,1.44687809119382,2.237487658662575,0.20752418685994184,0.7009022534651393,0.30660824422537286,0.6755000886165687,1.1621398150123794,1.330994451998064,0.0,0.0,0.0,0.0,0.31491228070175437,0.49581254973067723,7.830868838763575,5.997073865009702,0.6654135338345865,0.3915228008249236,0.07894736842105263,0.2507299285606395
AM144508,5.0,4.00574721440229,7.269991156976988,3.3653407876217325,3.0807719994746563,1.4577356756011262,2.1882853397102275,5.339133964245027,3.752118855276979,0.8904191893789063,1.6603826737013088,0.2933418637555255,0.8060617010750749,0.17103115680971512,0.41996511288596217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2503050902746624,2.2449373644089476,0.22896622510922035,0.5588996298691729,0.0,0.0,0.782051282051282,1.3665728548165177,0.7390109890109889,0.39023601118682216,0.11538461538461539,0.29957234475763905
AM533263,10.0,19.76033285896744,22.146721809639285,6.556591143163442,4.23062514537008,19.448406899782636,9.770911889893517,9.823341365411006,4.2234330288758555,1.57339615766229,1.732191032377411,0.42857142857142855,0.646206172658864,1.3931288352108966,1.2079755839036985,1.2142857142857142,1.4769288003552106,0.32792223938931875,0.5564680512612532,1.1136365251036044,1.0064557228805182,0.42857142857142855,0.8516306272526402,0.0,0.0,0.0,0.0,0.16616161616161618,0.213233385118472,2.708116883116883,2.951868107772503,0.8710653938275421,0.13227830573085786,0.19642857142857142,0.3196003494903962
AM990246,9.0,51.34725916600341,37.67930691916715,8.106492347731287,4.143356758598177,63.99108159261213,11.953187633368646,4.666467833302653,2.9535234658497456,1.539080316747737,0.9910692650469884,0.047619047619047616,0.21821789023599236,1.522758906470625,0.9252697169599196,2.9046633908377135,2.2069368230159614,0.678826717718338,0.9442340882481891,1.1687700158946788,1.010500956559947,0.8332289013416345,1.0724802664458082,0.0,0.0,0.0,0.0,0.3693470550613408,0.28507664915502295,6.3175882318739465,4.803490132409648,0.7049319727891157,0.22990679874334213,0.015873015873015872,0.07273929674533079
AR118579,5.0,12.355425232928557,11.88134691260685,7.366796190819676,4.033181381033758,3.5876605101585337,3.0330567135761823,7.945845224351485,4.089586652036606,1.3728994523858935,1.6667736427379198,0.23367338207371874,0.5034830569636332,0.647700176640538,0.8434674991725335,0.8663509862705849,1.1822392613396233,0.0,0.0,0.697606908786547,1.1351072509137048,0.11029665105226813,0.34857572406866455,1.2593793083751037,1.7450008368283028,0.0,0.0,0.17662509448223734,0.31144630632787357,1.5699357520786092,0.9796173389520085,0.8734315948601664,0.15227418941958773,0.15873015873015872,0.35930562074719774
AR478418,11.0,44.58352278889406,17.930349805974082,4.993494992659285,3.2558043160833776,0.7870493159918083,0.9082190885150104,3.3869463768309926,1.833858546203145,1.5912822561152409,1.693574275089502,0.49522115471433814,0.7293389171568174,1.3197991912184377,1.1173470219879105,1.9782431255386832,1.4617516002819126,0.0,0.0,0.3026155670868132,0.5251947264529898,1.047577404829088,0.9663263122228257,0.0,0.0,0.0,0.0,0.5153679653679654,0.5131859533511859,11.527705627705627,6.670551187396865,0.7469893742621015,0.23119131525110373,0.20454545454545456,0.3402687588992388
AR914169,14.0,48.540595068247974,37.39148101900509,7.103199574544688,3.2932473818853225,3.916676268426083,3.3288605094927495,3.221246832497117,1.4817185240214816,1.0526315789473684,1.0259783520851542,0.6842105263157895,0.88522637273985,1.3290719666474358,1.225100447749035,3.7582831386784448,2.9750339070537537,0.10526315789473684,0.3153017676423058,0.8027561771737516,1.009234070569245,0.7368421052631579,0.8719139396343282,0.0,0.0,0.0,0.0,0.5534743722050224,0.458304447578283,6.419138532606024,4.166792787871575,0.7231829573934837,0.24692980247992236,0.2043859649122807,0.28920079877879834
AT736273,15.0,32.292061844353725,40.797956668344376,7.343292973810552,8.169229722065648,5.37935470274277,4.755205184440865,2.9843520423379357,4.153056003587141,1.5562964314594627,2.4859697417513122,0.0,0.0,0.0,0.0,0.664356859217844,1.0732088111345073,0.0,0.0,1.0873890599891574,1.7083140336120257,0.0,0.0,0.0,0.0,0.0,0.0,0.08095238095238094,0.12830660557435694,3.2607142857142857,4.6872901313563045,0.45555555555555555,0.4529737135697669,0.0,0.0
AT971709,8.0,27.594891389145612,17.281072025616613,9.860101551904615,3.6296667236014093,2.9827191113580227,2.577618046916103,6.914184595540702,4.826579859931445,0.3851769332305254,0.6737721313462464,0.6534197166328962,0.8532601310910229,0.8279515738309379,0.8154474337081766,1.1566254419968112,1.5915523752988663,0.0,0.0,0.15282605456473686,0.389440092142486,0.15608926639693824,0.3984318196895445,1.1762246219767458,1.443395868594479,0.0,0.0,0.1440218511647083,0.23825494708648456,3.1402597402597405,2.6019612405456516,0.9410430839002268,0.13564462384368675,0.2857142857142857,0.3779644730092272
AU529251,9.0,39.047903120966595,52.19355633279559,4.766763551527418,3.1070778434318718,46.17685948558395,18.010424150213066,6.141350575827324,4.104345243868803,0.8942329102489042,1.6609835416322882,0.22251517006073918,0.6500437657749446,0.6834477039995451,1.0156247085849488,0.9968169491770926,1.6666927986900493,0.07646281490789353,0.3058512596315741,0.6360935877584402,1.3976711262089867,0.37943665630469314,0.8782416766148512,0.08525332345707565,0.34101329382830264,0.0,0.0,0.14895833333333333,0.2838536888375183,6.715624999999999,8.551598223485824,0.8524305555555555,0.2587399726690681,0.05208333333333333,0.14553540997144152
AV262395,2.0,23.659853641172386,18.509707551761124,5.567200526007437,2.496604259388565,3.520219897309748,1.9255654482844717,5.600875145831555,1.8018617653551798,1.6356618583043014,2.9554365013967816,1.2992379239549372,1.4627620814706794,1.0127292962772065,1.6327379170086656,2.402937482848937,2.7620605900847512,0.0,0.0,1.2536164418048676,1.4257662221619853,0.3971213840984576,0.627009601532026,0.0,0.0,0.0,0.0,0.3190476190476191,0.33599279227772894,3.8357142857142854,2.7668592671261094,0.8690476190476191,0.2138885207759591,0.4305555555555556,0.46072607753253836
