,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,at_home,pos_num_x,is_sub,PlayGuid,T_per80m,TA_per80m,C_per80m,P_per80m,DG_per80m,M_per80m,CA_per80m,MK_per80m,PM_per80m,O_per80m,BTs_per80m,Kon_per80m,TM_per80m,MT_per80m,TW_per80m,TC_per80m,HE_per80m,PC_per80m,OPC_per80m,SPC_per80m,LW_per80m,LS_per80m,YC_per80m,RC_per80m,TS(%)_per80m,TW(%)_per80m,MpCA_per80m,pos_num_y
0,Hugo Keenan,80.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,88.0,81.0,10.0,0.0,0.0,1.0,4.0,1.0,80.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,HK751316,0.0,0.0,0.0,0.0,0.0,45.0,7.0,88.0,10.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,6.428571428571429,15
1,Andrew Conway,62.0,2.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,49.0,77.0,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,AC788211,2.3234438795067875,0.0,0.0,0.0,0.0,69.70331638520364,6.9703316385203635,56.9243750479163,1.1617219397533938,0.0,3.4851658192601818,0.0,2.3234438795067875,0.0,0.0,2.3234438795067875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14
2,Garry Ringrose,80.0,1.0,0.0,0.0,0.0,0.0,110.0,11.0,0.0,22.0,95.0,12.0,0.0,2.0,0.0,7.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,GR900605,1.0,0.0,0.0,0.0,0.0,110.0,11.0,22.0,12.0,0.0,2.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,10.0,13
3,Bundee Aki,80.0,1.0,1.0,0.0,0.0,0.0,113.0,18.0,0.0,0.0,100.0,15.0,1.0,1.0,0.0,9.0,3.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,BA768636,1.0,1.0,0.0,0.0,0.0,113.0,18.0,0.0,15.0,1.0,1.0,0.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,6.277777777777778,12
4,Mack Hansen,80.0,0.0,1.0,0.0,0.0,0.0,149.0,10.0,0.0,23.0,93.0,5.0,0.0,3.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,MH859498,0.0,1.0,0.0,0.0,0.0,149.0,10.0,23.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.9,11
5,Johnny Sexton,64.0,0.0,1.0,3.0,1.0,0.0,57.0,9.0,0.0,70.0,90.0,30.0,1.0,5.0,0.0,7.0,1.0,87.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,JS228312,0.0,1.1395647639063162,3.4186942917189485,1.1395647639063162,0.0,64.95519154266002,10.256082875156846,79.76953347344212,34.186942917189484,1.1395647639063162,5.697823819531581,0.0,7.976953347344213,1.1395647639063162,1.1395647639063162,2.2791295278126324,1.1395647639063162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8749999999999999,0.3333333333333333,6.333333333333333,10
6,Jamison Gibson-Park,69.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,200.0,90.0,93.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,JG677554,0.0,1.089434068861047,0.0,0.0,0.0,3.268302206583141,1.089434068861047,217.8868137722094,101.31736840407738,0.0,0.0,0.0,1.089434068861047,0.0,0.0,2.178868137722094,3.268302206583141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9
7,Andrew Porter,66.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,9.0,0.0,100.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,AP382464,0.0,0.0,0.0,0.0,0.0,32.44118245318047,5.593307319513873,0.0,1.1186614639027748,0.0,1.1186614639027748,0.0,10.067953175124973,0.0,1.1186614639027748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.8,1
8,Ronan Kelleher,62.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.0,0.0,100.0,4.0,1.0,0.0,0.0,9.0,1.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,RK712948,0.0,0.0,0.0,0.0,0.0,45.30715565038236,6.9703316385203635,0.0,4.646887759013575,1.1617219397533938,0.0,0.0,10.455497457780545,1.1617219397533938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,6.5,2
9,Tadhg Furlong,52.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,7.0,1.0,87.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,TF974321,0.0,0.0,0.0,0.0,0.0,29.807946692539478,6.479988411421625,0.0,3.8879930468529755,0.0,1.295997682284325,0.0,9.071983775990276,1.295997682284325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,,4.6000000000000005,3
