PlayGuid,pos_num_y,T_per80m|mean,T_per80m|std,TA_per80m|mean,TA_per80m|std,C_per80m|mean,C_per80m|std,P_per80m|mean,P_per80m|std,DG_per80m|mean,DG_per80m|std,M_per80m|mean,M_per80m|std,CA_per80m|mean,CA_per80m|std,MK_per80m|mean,MK_per80m|std,PM_per80m|mean,PM_per80m|std,O_per80m|mean,O_per80m|std,BTs_per80m|mean,BTs_per80m|std,Kon_per80m|mean,Kon_per80m|std,TM_per80m|mean,TM_per80m|std,MT_per80m|mean,MT_per80m|std,TW_per80m|mean,TW_per80m|std,TC_per80m|mean,TC_per80m|std,HE_per80m|mean,HE_per80m|std,PC_per80m|mean,PC_per80m|std,OPC_per80m|mean,OPC_per80m|std,SPC_per80m|mean,SPC_per80m|std,LW_per80m|mean,LW_per80m|std,LS_per80m|mean,LS_per80m|std,YC_per80m|mean,YC_per80m|std,RC_per80m|mean,RC_per80m|std,TS(%)_per80m|mean,TS(%)_per80m|std,TW(%)_per80m|mean,TW(%)_per80m|std,MpCA_per80m|mean,MpCA_per80m|std
AB882295,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,7.758865896508329,4.2,1.9235384061671346,0.0,0.0,4.4,4.39317652729776,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1.949358868961793,0.6,0.5477225575051661,0.2,0.4472135954999579,0.2,0.4472135954999579,0.2,0.4472135954999579,1.0,1.0,0.2,0.4472135954999579,0.0,0.0,3.4,1.51657508881031,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.043740888263985346,0.5,,3.6366666666666667,0.576676300497563
AD427633,9,0.4219814352820192,0.5780978745586784,0.4339295059915379,0.5941913898482591,0.0,0.0,0.0,0.0,0.0,0.0,50.49505876874773,13.561667418089254,7.866466162483069,3.3268480180164697,407.9195707980427,129.23631722567353,50.0687303492205,13.028641289433825,1.69409877842035,0.9375313933887097,2.754885681963349,1.9375238541762725,0.21079535650569822,0.47135274648804376,8.668720709292653,4.322763323981595,0.835171652563657,0.865054739145549,0.0,0.0,1.0560709582259933,0.7454969421221757,2.139976355121407,1.09349536497495,0.4184375529952682,0.5730865606829666,0.21249880993257758,0.4751617841470509,0.0,0.0,0.42854150215190606,0.5868380593848636,0.0,0.0,0.0,0.0,0.0,0.0,0.9071428571428573,0.10594569267279515,0.0,0.0,7.287179487179486,3.1639612651822975
AD528464,7,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.78301488119534,45.00083387134188,10.252412502326829,6.615563872933457,0.0,0.0,1.459199536456865,1.5027719018955183,0.0,0.0,1.6768413733685328,1.813674516201466,0.6176418369116677,1.3810891330823278,6.779817674267861,3.400111434959196,0.2,0.447213595499958,1.2,1.7888543819998317,1.0176418369116678,1.4456020740876199,1.217641836911668,1.3345203026370915,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.4,0.894427190999916,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.9846153846153847,0.03440104580768905,0.5,0.5,6.822222222222223,0.8447367914999205
AF878846,9,0.0,0.0,0.47869716610833485,0.9573943322166697,0.0,0.0,0.0,0.0,0.0,0.0,24.950000000133706,22.862872920776308,5.620333180974774,2.1986386623849214,182.12522992761237,92.2832725749942,41.32276128388936,19.886812862688757,0.0,0.0,1.631629846368696,2.1821710940097647,0.0,0.0,5.964801222791261,3.224800734399585,0.38431089342012037,0.7686217868402409,0.0,0.0,0.7686217868402407,1.5372435736804817,3.2166510384664946,1.8022630375537778,0.7720522961395847,1.5441045922791694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333333,0.08333333333333338,0.0,,3.625,3.0379543555930306
AJ536835,7,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.256093635119452,18.90135262894122,5.456093635119453,3.7681165710724227,0.0,0.0,2.4560936351194527,1.7661836701165838,0.8,0.8366600265340756,0.4,0.894427190999916,0.2,0.4472135954999579,13.529217256552887,3.1182363067203616,1.7365618107167173,3.3521381363850185,0.8,0.8366600265340756,0.2,0.4472135954999579,0.6,0.894427190999916,0.8,0.8366600265340756,0.2,0.447213595499958,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.925077399380805,0.13703669114920497,0.8333333333333334,0.2886751345948129,5.558333333333333,3.5963426638121616
AP903050,9,0.0,0.0,0.44545238470166176,0.6128416650026892,0.0,0.0,0.0,0.0,0.0,0.0,41.098534908377424,42.29611084433017,4.9102484592245705,4.087680572049174,164.3247942222271,134.24978459316247,66.47918178460827,13.658941948206573,0.234661328284344,0.5247186817341872,3.605541036868972,3.038058979791433,0.234661328284344,0.5247186817341872,4.866796071720223,3.249016788261335,1.6826256118185299,1.3536200549019506,0.44060007134703466,0.6054493182350772,1.4673666401327548,1.4662402800270362,2.2391106283324156,1.6861447832110847,0.234661328284344,0.5247186817341872,0.234661328284344,0.5247186817341872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033333333333334,0.27998015802711607,0.25,0.28867513459481287,10.069444444444445,7.526547664971399
AS421316,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09139610876716,19.464966927702235,5.778944600633008,2.140239427370354,0.0,0.0,2.6183638806733787,1.932861095306014,0.0,0.0,0.0,0.0,0.0,0.0,12.396370016358246,4.34597571741403,3.2249634137295997,1.6482571466925704,0.0,0.0,0.0,0.0,0.25,0.5,0.8325014117339604,1.104036821939794,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5825014117339604,1.1650028234679208,0.0,0.0,0.7948717948717949,0.05207716926048694,,,7.6875,2.055227075856421
BA768636,12,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,55.70768703011493,38.32641475317526,9.191871461620687,5.930036283185379,0.0,0.0,7.218574468343838,5.3945154858518825,0.8172852792128261,0.5486911675972559,0.8093307319513874,1.0623164858867817,0.0,0.0,6.634873328123285,3.7243598948979106,0.75,1.5,0.2796653659756937,0.5593307319513874,0.5592408442594261,0.6529617417533076,0.5376199132371324,0.6238222897086857,0.3092408442594261,0.6184816885188522,0.3092408442594261,0.6184816885188522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.125,0.3333333333333333,0.5773502691896258,6.002777777777777,0.663720341226653
BK512124,10,0.0,0.0,0.6480379236681217,1.2960758473362435,0.0,0.0,0.0,0.0,0.0,0.0,100.53981909331611,111.31802044276483,6.499765664781469,7.225540721292496,20.5,41.0,22.909601683782597,24.466009571505282,0.0,0.0,0.6480379236681217,1.2960758473362435,0.0,0.0,2.398037923668122,3.302368184338394,0.25,0.5,0.0,0.0,0.25,0.5,3.7450362253656717,3.2167828875979523,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.08838834764831845,0.0,,15.75,11.97131989381288
BW742198,9,0.47869716610833485,0.9573943322166698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.32741006663924,24.73068260084688,4.28607391441414,2.6063333997059175,111.4571550377461,89.59567441086949,54.86821339259919,27.606881202467488,0.6742925859953961,1.3485851719907922,2.683455467412136,2.305054347941347,0.0,0.0,5.207853702204515,4.763989082053367,0.0,0.0,0.6024407670058242,1.2048815340116483,0.6024407670058242,1.2048815340116483,1.081137933114159,1.2646391780237871,0.7033610572054578,1.4067221144109157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033610572054578,1.4067221144109157,0.0,0.0,1.0,0.0,0.5,,7.458333333333334,5.339189493213782
