,game_links
0,/report/newcastle-overcome-worcester-in-entertaining-opener
1,/report/doussain-helps-lyon-to-victory-over-gloucester
2,/report/biarritz-triumph-at-zebre
3,/report/edinburgh-shock-saracens-in-challenge-cup
4,/report/ecochard-inspires-usap-comeback-against-dragons
5,/report/creevy-cracknell-braces-as-london-irish-beat-pau
6,/report/toulon-off-the-mark-with-win-over-zebre
7,/report/eight-try-gloucester-overpower-benetton
8,/report/lyon-victorious-in-seven-try-thriller
9,/overview/?FixGuid=21PS1821
10,/preview/worcester-bid-to-end-biarritz-run
11,/preview/london-irish-aim-to-continue-strong-start-against-brive
12,/report/brive-survive-late-rally-to-claim-win-over-pau
13,/report/wacokecoke-try-sees-newcastle-claim-dramatic-win
14,/report/benetton-make-it-two-from-two-against-dragons
15,/report/london-irish-leave-it-late-to-beat-edinburgh
16,/report/toulon-see-off-worcester-to-maintain-winning-start
17,/report/lyons-perfect-start-continues-with-usap-thrashing
18,/preview/newcastle-hope-to-continue-away-sequence
19,/report/lyon-victory-seals-last-16-spot
20,/report/10-try-edinburgh-thrash-brive
21,/report/worcester-beat-zebre-for-first-pool-a-win
22,/report/10-try-gloucester-demolish-usap
23,/report/saracens-overcome-london-irish-for-first-pool-c-win
24,/report/saracens-crush-brive-to-claim-round-of-16-spot
25,/report/eight-try-edinburgh-secure-pool-c-top-spot
26,/report/benetton-beat-usap-to-reach-round-of-16
27,/report/biarritz-edge-entertaining-toulon-clash
28,/report/socino-hat-trick-as-gloucester-overcome-dragons
29,/report/newcastle-snatch-last-gasp-win-over-zebre
30,/report/10-try-london-irish-thrash-castres
31,/report/barbeary-hat-trick-as-wasps-overcome-biarritz
32,/report/lyon-march-to-assured-win-over-worcester
33,/report/steyn-double-as-glasgow-win-at-newcastle
34,/report/late-flourish-helps-toulon-see-off-benetton
35,/report/gloucester-overcome-northampton-to-reach-last-eight
36,/report/boffelli-brace-as-edinburgh-prove-too-strong-for-bath
37,/report/maitland-double-as-saracens-see-off-cardiff
38,/report/saracens-prove-too-strong-gloucester
39,/report/wasps-edge-out-edinburgh-to-reach-semi-finals
40,/report/niniashvili-double-as-lyon-fight-back-to-beat-glasgow
41,/report/toulon-edge-out-london-irish-to-book-saracens-semi-final
42,/report/lyon-through-to-first-european-final
43,/report/villiere-brace-as-toulon-see-off-saracens-to-reach-final
44,/report/superb-lyon-storm-to-epcr-challenge-cup-triumph
