,game_links
0,/report/lauret-hat-trick-as-racing-prove-too-strong-for-northampton
1,/overview/?FixGuid=21BS6454
2,/report/toulouse-overpower-brave-cardiff
3,/report/seven-try-leinster-cruise-to-win-over-bath
4,/report/leicester-top-bordeaux-with-late-ford-penalty
5,/report/ulster-battle-to-win-at-clermont
6,/report/gray-hat-trick-lifts-exeter-over-montpellier
7,/report/first-half-blitz-sees-sale-beat-ospreys
8,/report/carty-inspires-connacht-to-victory
9,/report/munster-maul-14-man-wasps
10,/report/stade-rochelais-grind-out-win-over-glasgow
11,/report/quins-hold-on-to-beat-castres
12,/preview/montpellier-welcome-leinster-to-the-ggl-stadium
13,/preview/ospreys-seek-to-upset-racing
14,/report/ulster-record-bonus-point-win-over-northampton
15,/preview/bath-aim-to-halt-home-sequence
16,/report/harlequins-overcome-valiant-cardiff
17,/preview/sales-grounds-for-optimism
18,/report/thompson-kicks-impressive-glasgow-to-victory-over-exeter
19,/report/munster-top-castres-in-tight-affair
20,/preview/scarlets-seek-lift-off-in-rare-bordeaux-clash
21,/report/94959
22,/overview/?FixGuid=21TL2895
23,/overview/?FixGuid=21SB3085
24,/report/coombes-the-hero-as-munster-stun-castres
25,/report/95689
26,/report/14-man-wasps-topple-stade-toulousain
27,/report/racing-92-through-to-knockout-stages-after-ospreys-win
28,/report/last-gasp-saumaki-score-sees-leicester-beat-connacht
29,/report/ruthless-exeter-thrash-glasgow
30,/report/stade-rochelais-ease-to-win-over-bath
31,/report/bristol-overwhelm-stade-francais-to-seal-last-16-spot
32,/report/13-try-leinster-demolish-montpellier
33,/report/bielle-biarreys-debut-hat-trick-lifts-bordeaux-to-victory
34,/report/lowry-brace-helps-ulster-seal-last-16-spot
35,/report/clermont-edge-out-sale-for-crucial-win
36,/preview/cardiff-face-daunting-test-at-toulouse
37,/preview/leicester-host-qualification-chasing-bordeaux
38,/report/dombrandt-heroics-as-quins-snatch-dramatic-win
39,/preview/northampton-look-to-upset-the-odds
40,/report/obrien-scores-four-as-leinster-blitz-bath
41,/report/ulster-survive-late-clermont-comeback
42,/report/bristol-secure-top-four-finish-with-convincing-win
43,/report/glasgow-face-nervous-wait-after-stade-rochelais-defeat
44,/report/sale-cruise-to-victory-over-ospreys
45,/report/stade-francais-keep-their-qualification-hopes-alive
46,/report/munster-crush-wasps-qualification-hopes
47,/report/montpellier-beat-exeter-to-secure-final-last-16-spot
48,/report/lowe-double-helps-leinster-to-first-leg-win
49,/report/la-rochelle-beat-bordeaux-in-all-french-clash
50,/report/bristol-grab-narrow-win-at-sale
51,/report/baloucoune-hat-trick-as-ulster-win-at-toulouse
52,/report/fickou-scores-as-racing-92-prevail-in-paris-derby
53,/report/exeter-grind-out-win-over-munster
54,/report/mercer-inspires-montpellier-to-win-over-quins
55,/report/14-man-leicester-win-at-clermont
56,/report/lowe-scores-four-as-leinster-overpower-connacht
57,/report/14-man-sale-triumph-at-bristol
58,/report/montpellier-see-off-quins-fightback-to-reach-quarter-finals
59,/report/stade-rochelais-set-up-montpellier-quarter-final-clash
60,/report/carbery-inspired-munster-edge-out-exeter
61,/report/leicester-face-leinster-after-clermont-victory
62,/report/toulouse-edge-thriller-against-ulster
63,/report/racing-sweep-aside-stade-francais
64,/report/toulouse-beat-munster-on-place-kicks-in-quarter-final-thriller
65,/report/la-rochelle-see-off-montpellier-test-to-secure-semi-final-spot
66,/report/leinster-beat-leicester-to-set-up-toulouse-semi-final
67,/report/stylish-racing-cruise-into-semi-finals
68,/report/lowe-double-as-superb-leinster-overrun-toulouse
69,/report/stade-rochelais-grind-out-win-to-set-up-leinster-final
70,/report/retiere-the-hero-as-stade-rochelais-lift-the-heineken-champions-cup
