,game_links
0,/match-report/match-report-bristol-bears-9-26-saracens
1,/match-report/match-report-leicester-tigers-34-19-exeter-chiefs
2,/match-report/match-report-northampton-saints-34-20-gloucester-rugby
3,/match-report/match-report-worcester-warriors-36-24-london-irish
4,/match-report/match-report-sale-sharks-20-19-bath-rugby
5,/match-report/match-report-newcastle-falcons-20-26-harlequins
6,/match-report/gloucester-rugby-26-33-leicester-tigers
7,/match-report/bath-rugby-13-20-newcastle-falcons
8,/match-report/exeter-chiefs-24-26-northampton-saints
9,/match-report/harlequins-35-29-worcester-warriors
10,/match-report/wasps-44-8-bristol-bears
11,/match-report/match-report-london-irish-31-31-sale-sharks
12,/match-report/match-report-bristol-bears-25-20-bath-rugby
13,/match-report/match-report-northampton-saints-23-21-london-irish
14,/match-report/match-report-leicester-tigers-13-12-saracens
15,/match-report/match-report-newcastle-falcons-18-14-wasps
16,/match-report/match-report-worcester-warriors-23-31-gloucester-rugby
17,/match-report/match-report-sale-sharks-15-25-exeter-chiefs
18,/match-report/match-report-harlequins-52-24-bristol-bears
19,/match-report/exeter-chiefs-42-5-worcester-warriors
20,/match-report/match-report-gloucester-rugby-33-32-sale-sharks
21,/match-report/match-report-london-irish-16-21-leicester-tigers
22,/match-report/match-report-saracens-37-23-newcastle-falcons
23,/match-report/match-report-wasps-26-20-northampton-saints
24,/match-report/match-report-sale-sharks-28-22-harlequins
25,/match-report/match-report-newcastle-falcons-13-5-bristol-bears
26,/match-report/match-report-wasps-23-27-exeter-chiefs
27,/match-report/match-report-worcester-warriors-3-48-leicester-tigers
28,/match-report/match-report-bath-rugby-17-71-saracens
29,/overview/?FixGuid=21LG8967#statistics
30,/match-report/match-report-northampton-saints-66-10-worcester-warriors
31,/match-report/match-report-exeter-chiefs-21-33-london-irish
32,/match-report/match-report-gloucester-29-20-newcastle-falcons
33,/match-report/match-report-harlequins-31-17-bath-rugby
34,/match-report/match-report-leicester-tigers-19-11-sale-sharks
35,/overview/?FixGuid=21SL1090#statistics
36,/match-report/match-report-gloucester-rugby-13-16-exeter-chiefs
37,/match-report/match-report-bath-rugby-17-27-wasps
38,/match-report/match-report-london-irish-33-45-bristol-bears
39,/match-report/match-report-northampton-saints-26-55-leicester-tigers
40,/match-report/match-report-worcester-warriors-27-14-sale-sharks
41,/match-report/match-report-harlequins-22-29-saracens
42,/match-report/match-report-leicester-tigers-40-23-bath-rugby
43,/overview/?FixGuid=21BW3389#statistics
44,/match-report/match-report-saracens-34-34-london-irish
45,/overview/?FixGuid=21SN7886#statistics
46,/overview/?FixGuid=21EN3046#statistics
47,/overview/?FixGuid=21LH4595#statistics
48,/match-report/match-report-bath-rugby-16-23-exeter-chiefs
49,/match-report/match-report-bristol-bears-20-36-northampton-saints
50,/match-report/match-report-wasps-33-35-gloucester-rugby
51,/match-report/harlequins-19-22-london-irish
52,/match-report/match-report-newcastle-falcons-24-24-worcester-warriors
53,/match-report/match-report-saracens-25-14-sale-sharks
54,/overview/?FixGuid=21GB1931#statistics
55,/overview/?FixGuid=21ES3610#statistics
56,/overview/?FixGuid=21LN6176#statistics
57,/overview/?FixGuid=21NB1539#statistics
58,/overview/?FixGuid=21WL6612#statistics
59,/overview/?FixGuid=21LH7260#statistics
60,/match-report/bristol-bears-26-28-leicester-tigers
61,//
62,/match-report/match-report-saracens-61-29-worcester-warriors
63,/match-report/match-report-wasps-38-30-london-irish
64,/match-report/match-report-bath-gloucester
