,game_links
0,/report/conway-at-the-double-as-ireland-defeat-wales-in-dublin
1,/report/scotland-retain-the-calcutta-cup-with-tense-england-victory
2,/report/villiere-hat-trick-fires-france-past-italy
3,/report/wales-edge-past-scotland-to-open-championship-account
4,/report/dupont-and-jaminet-help-france-edge-ireland-in-paris-thriller
5,/report/george-at-the-double-as-england-down-italy-in-rome
6,/report/france-impress-on-the-way-to-dominant-win-in-scotland
7,/report/smith-kicks-england-to-victory-after-wales-fightback
8,/report/lowry-with-debut-double-as-ireland-down-italy
9,/report/jelonch-try-helps-france-beat-wales-to-set-up-grand-slam-shot
10,/report/harris-at-the-double-as-scotland-conquer-rome
11,/report/conan-and-bealham-seal-thrilling-ireland-win
12,/report/late-padovani-try-seals-stunning-italy-win
13,/report/ireland-secure-triple-crown-with-bonus-point-win-over-scotland
14,/report/dupont-strikes-to-seal-grand-slam-glory-for-france
